refid,split,change_ratio,change_level,country,change_type,v1_test
a25-66116747847566_42-39992128286131,train,1.6984,low,BGR,Uncertain,
a21-59282830417349_39-40298103621579,train,0.9244,low,GRC,Uncertain,
a8-80249467517939_47-54398344853953,train,2.0632,low,CHE,Agriculture,
a10-00941761159611_54-18248855104294,train,3.3415,low,DEU,Residential,
a9-02520032438762_59-69423203010084,train,4.6507,low,NOR,Residential,
a5-05204659373531_51-44811397038556,train,0.5158,low,BEL,Water and Waste Treatment,
a26-62295507119818_44-05415527794138,train,3.7334,low,BGR,"Transport, Communication Networks, and Logistics",
a21-86743092402196_55-9444645366206,train,1.7035,low,LTU,Uncertain,
a-7-31845978294083_52-63909445252201,train,0.5335,low,IRL,Residential,
a-0-54402407469629_44-04188024421709,train,0.2844,low,FRA,Residential,
a18-72533691028657_49-1842950075387,train,2.3111,low,SVK,Residential,
a33-86003978707835_36-73134793425821,train,2.8177,low,TUR,Residential,
a22-84859000985749_42-45841904261786,train,0.6152,low,BGR,Uncertain,
a16-20907116757617_38-78426433248338,train,3.6699,low,ITA,Agriculture,
a22-51154529311813_56-17659989495793,train,0.8991,low,LTU,Agriculture,
a-2-50892206729078_47-79563952733903,train,1.889,low,FRA,Residential,
a12-90468014327417_49-06813500850476,train,3.4657,low,DEU,Residential,
a-8-5046084613411_41-03650589895832,train,1.7034,low,PRT,Uncertain,
a6-12201417012424_52-3001891774471,train,1.4085,low,NLD,Agriculture,
a3-7267438263542_51-68070038951491,train,2.968,low,NLD,"Transport, Communication Networks, and Logistics",
a23-16109510230296_56-48437623422114,train,0.5193,low,LVA,Agriculture,
a3-27080889899288_50-87987570748427,train,2.4207,low,BEL,Agriculture,
a28-29010187977192_43-4567424498741,train,4.6726,low,BGR,Agriculture,
a-8-71912866538231_37-59163718355473,train,4.0475,low,PRT,Uncertain,
a21-42494870049343_48-68561021487365,train,4.1322,low,SVK,Uncertain,
a19-50068268845749_49-0597971065496,train,4.3733,low,SVK,Residential,
a-7-26481735277496_40-73012230359111,train,1.1252,low,PRT,Uncertain,
a4-14192226976871_51-42686339376777,train,3.8484,low,NLD,Uncertain,
a-8-16716865379318_41-29046838293574,train,1.1095,low,PRT,Agriculture,
a26-71383420304365_55-960384104292,train,0.9145,low,LVA,Uncertain,
a7-79445066862058_51-39339047840458,train,4.8939,low,DEU,Mining and Quarrying,
a18-64966272074464_47-52696250771223,train,2.9772,low,HUN,Residential,
a17-99262666374421_48-88721480964941,train,4.5037,low,SVK,Agriculture,
a6-28772768410982_59-63685955269065,train,1.2299,low,NOR,Uncertain,
a-21-0584275580337_63-91228165877032,train,0.5927,low,ISL,Residential,
a22-56998252086449_40-02929503180037,train,0.71,low,GRC,Uncertain,
a29-79895633519798_62-64118953467137,train,3.2318,low,FIN,Uncertain,
a2-58896497299867_42-66375639844479,train,3.7906,low,FRA,Agriculture,
a-8-86453951262951_52-28211318133327,train,0.6625,low,IRL,Residential,
a3-66896455014147_50-49894876337167,train,1.7264,low,BEL,"Transport, Communication Networks, and Logistics",
a19-55345246514126_47-56048768054758,train,1.5644,low,HUN,"Transport, Communication Networks, and Logistics",
a-6-97462937889053_53-63384493473035,train,0.9907,low,IRL,"Transport, Communication Networks, and Logistics",
a24-62502697948046_43-39589019191298,train,3.0906,low,BGR,Uncertain,
a17-06540959971633_52-3741174425591,train,3.6405,low,POL,"Recreation, Leisure, and Sports",
a11-89866704465856_54-76274837128253,train,4.1798,low,DNK,"Transport, Communication Networks, and Logistics",
a4-04541498665052_48-27085473352302,train,2.543,low,FRA,Uncertain,
a15-5230955447233_48-79543698940313,train,3.5906,low,AUT,Energy Production,
a24-30983682802799_55-72413222709245,train,2.6919,low,LTU,Residential,
a-8-56045957777664_40-80940340027942,train,1.6253,low,PRT,Residential,
a14-553548989316_46-12425285102383,train,2.7574,low,SVN,Industry and Manufacturing,
a-2-17104025185075_39-66195264271502,train,0.5368,low,ESP,Agriculture,
a1-1906226365844_47-92332259680467,train,0.4504,low,FRA,"Transport, Communication Networks, and Logistics",
a21-32632109696438_52-16524009813717,train,4.9587,low,POL,Uncertain,
a-7-20196668794104_53-29507776919935,train,2.0119,low,IRL,Residential,
a37-48699251732178_40-96134738205864,train,1.785,low,TUR,Uncertain,
a-3-99571454125387_43-28658119907893,train,1.2312,low,ESP,"Transport, Communication Networks, and Logistics",
a39-26949131085085_41-01550472139592,train,0.7138,low,TUR,Residential,
a20-1202303690376_63-98799748330785,train,4.8658,low,SWE,"Transport, Communication Networks, and Logistics",
a6-53272656603823_46-52411297528171,train,4.1798,low,CHE,Residential,
a24-64452762542151_42-44276530155928,train,1.8905,low,BGR,Uncertain,
a9-73415351015821_47-85711641511046,train,2.4282,low,DEU,Agriculture,
a24-36603769871882_45-12779807771178,train,1.9892,low,ROU,Community Services,
a22-40339823415017_62-73543996621351,train,1.8248,low,FIN,Uncertain,
a23-57259921102445_43-24040669050581,train,2.0745,low,BGR,"Transport, Communication Networks, and Logistics",
a27-24891473648757_44-09709309761551,train,0.25,low,BGR,Residential,
a22-71951401255521_63-76845848375675,train,2.4001,low,FIN,Residential,
a27-95773801630337_44-04857019043383,train,0.9689,low,ROU,Uncertain,
a25-64243038512029_42-4514081513337,train,3.4289,low,BGR,Residential,
a8-83576400027938_53-18283989914372,train,0.3731,low,DEU,Residential,
a9-4843003131549_47-16101307536516,train,16.0392,moderate,CHE,Agriculture,
a2-98534050824779_39-37939172240195,train,7.8387,moderate,ESP,Residential,
a14-3231802597412_46-26614816972087,train,11.1089,moderate,SVN,Commerce and Services,
a6-5804358545851_52-51406658525929,train,5.2381,moderate,NLD,Residential,
a16-08699897668672_53-45325239406315,train,11.7658,moderate,POL,Uncertain,
a-6-53797725923809_53-84911799426187,train,10.5777,moderate,IRL,Uncertain,
a17-29648513171956_48-31832462732824,train,6.474,moderate,SVK,Residential,
a20-62963149779467_52-12120314569297,train,19.68,moderate,POL,"Transport, Communication Networks, and Logistics",
a8-52861870737536_58-9233509732679,train,7.8975,moderate,NOR,"Transport, Communication Networks, and Logistics",
a17-71064367428112_45-3367690095194,train,9.5703,moderate,HRV,Uncertain,
a5-11228930407312_51-05585200611895,train,18.0718,moderate,BEL,Commerce and Services,
a9-01237199147014_60-54107131923332,train,25.438,moderate,NOR,Residential,
a24-2428040669578_55-3769790372124,train,13.5555,moderate,LTU,Agriculture,
a-8-7250406009344_41-45175558225651,train,20.5188,moderate,PRT,"Transport, Communication Networks, and Logistics",
a26-20584677927578_47-61232020126451,train,10.0633,moderate,ROU,Uncertain,
a21-21267111059229_45-79370720284675,train,21.3509,moderate,ROU,Commerce and Services,
a-6-27279030754873_53-4325815984102,train,14.9242,moderate,IRL,"Transport, Communication Networks, and Logistics",
a12-77039004735471_41-58543580125914,train,12.1823,moderate,ITA,Agriculture,
a9-46006269337266_42-77182162080771,train,9.0666,moderate,FRA,Uncertain,
a4-83774516957964_45-81113137577614,train,6.9827,moderate,FRA,Residential,
a15-23542713472301_44-13804504255038,train,19.2422,moderate,HRV,Residential,
a5-8552647044621_61-45583119812181,train,15.9492,moderate,NOR,"Transport, Communication Networks, and Logistics",
a23-76374323145974_54-84666889788553,train,8.364,moderate,LTU,Uncertain,
a-1-58467935875357_47-05443474717619,train,9.9825,moderate,FRA,Agriculture,
a22-03234382362865_37-98131146771407,train,5.6623,moderate,GRC,Agriculture,
a11-46857408714585_58-38868205588187,train,6.3222,moderate,SWE,Uncertain,
a9-23292230820869_60-99545534503746,train,13.2353,moderate,NOR,Residential,
a18-84118523516349_63-23506400812931,train,12.0178,moderate,SWE,Residential,
a-8-19978619373512_40-39060133214248,train,19.4093,moderate,PRT,Commerce and Services,
a-8-63342379361771_37-13422198457337,train,9.3608,moderate,PRT,Residential,
a-6-00483649634729_43-54055750803159,train,12.6745,moderate,ESP,Uncertain,
a17-81046022198732_48-02360903747409,train,17.8457,moderate,SVK,Industry and Manufacturing,
a35-3630047622628_39-51025219841001,train,7.725,moderate,TUR,Residential,
a2-36291902506899_49-18951935490868,train,19.3845,moderate,FRA,Water and Waste Treatment,
a36-14615320951568_37-07401418439726,train,11.9361,moderate,TUR,Residential,
a16-23956602676228_45-94541698989293,train,5.6317,moderate,HRV,Uncertain,
a24-34041727116894_57-09974939549575,train,7.4187,moderate,LVA,Residential,
a27-12742131892453_41-73980351634908,train,14.7943,moderate,TUR,Industry and Manufacturing,
a3-13492672240259_50-80031986527516,train,9.3263,moderate,BEL,Residential,
a-0-7288032620039_48-63928444006693,train,8.0533,moderate,FRA,Uncertain,
a28-59634792217955_44-21454720185186,train,13.4583,moderate,ROU,Residential,
a12-88877354203338_55-87390927566725,train,18.2315,moderate,SWE,"Transport, Communication Networks, and Logistics",
a15-67279100079838_48-48032088109964,train,9.8988,moderate,AUT,Residential,
a11-32287274494765_63-74479353457964,train,5.23,moderate,NOR,Community Services,
a19-85295080204185_47-52784534570653,train,6.0089,moderate,HUN,Agriculture,
a8-03256451955557_53-1190341198854,train,7.0993,moderate,DEU,"Transport, Communication Networks, and Logistics",
a9-74529093239942_48-51559318456809,train,5.391,moderate,DEU,"Transport, Communication Networks, and Logistics",
a16-21017833942676_47-79103608025213,train,10.7306,moderate,AUT,"Transport, Communication Networks, and Logistics",
a-8-19813509533539_41-63652669165629,train,5.3602,moderate,PRT,Uncertain,
a4-00159245754781_51-08188112021718,train,9.3171,moderate,BEL,Commerce and Services,
a15-52945460985346_46-8145372650273,train,15.7905,moderate,AUT,"Transport, Communication Networks, and Logistics",
a0-6941135513559_49-61269109310156,train,6.8978,moderate,FRA,Residential,
a40-04120521705572_36-87261815095685,train,10.9246,moderate,TUR,Residential,
a5-09083297195579_52-64196941413523,train,7.0423,moderate,NLD,Industry and Manufacturing,
a8-55857187094528_58-33752483124721,train,15.2489,moderate,NOR,Uncertain,
a16-28161007995402_46-08909276844217,train,8.1431,moderate,HRV,Industry and Manufacturing,
a13-60838063952165_46-58264616437447,train,6.0625,moderate,AUT,Residential,
a24-84522499951122_42-03992940928746,train,20.2038,moderate,BGR,Uncertain,
a7-02591710464096_62-85643393649961,train,12.329,moderate,NOR,Mining and Quarrying,
a-21-18499650616551_63-98950456720672,train,7.717,moderate,ISL,"Transport, Communication Networks, and Logistics",
a14-6191477364502_49-89061589075885,train,6.3479,moderate,CZE,"Transport, Communication Networks, and Logistics",
a23-24251456165358_43-41966452912967,train,8.1127,moderate,BGR,Uncertain,
a11-377756363169_45-39326226417903,train,18.1917,moderate,ITA,Uncertain,
a26-040070508867_45-95719246129747,train,9.053,moderate,ROU,Uncertain,
a19-27541274825476_49-24370912159996,train,6.8444,moderate,SVK,Residential,
a2-98945183051191_39-36914899119555,train,8.6822,moderate,ESP,"Transport, Communication Networks, and Logistics",
a23-30611049423583_56-62185317869918,train,11.4245,moderate,LVA,Industry and Manufacturing,
a17-63253602092586_47-9720597521916,train,7.4123,moderate,SVK,Residential,
a-1-71820674589767_52-42514570080691,train,13.8978,moderate,GBR,"Transport, Communication Networks, and Logistics",
a30-65762206856974_38-80090464027149,train,22.5151,moderate,TUR,Commerce and Services,
a25-75525729261775_45-64371757805646,train,7.4828,moderate,ROU,Agriculture,
a16-85516230134469_59-93763743099731,train,6.5866,moderate,SWE,"Recreation, Leisure, and Sports",
a14-90198581909847_46-54481380377602,train,6.5662,moderate,SVN,Industry and Manufacturing,
a14-66993426151833_37-02840704488418,train,19.7778,moderate,ITA,Uncertain,
a3-43422023388386_50-56800222591682,train,13.0794,moderate,BEL,Industry and Manufacturing,
a-18-03071366712101_65-66474845645646,train,7.0257,moderate,ISL,Residential,
a16-15317118163363_45-7859705066069,train,8.3542,moderate,HRV,Commerce and Services,
a21-43043997866652_38-08072104277537,train,8.96,moderate,GRC,Agriculture,
a25-70702178828917_59-03533220503562,train,7.1417,moderate,EST,Residential,
a8-59953812675902_58-41512846247853,train,5.293,moderate,NOR,"Transport, Communication Networks, and Logistics",
a7-53578688874846_51-04360681454464,train,16.6562,moderate,DEU,Uncertain,
a-2-22932139889146_56-95862408026678,train,8.9897,moderate,GBR,Uncertain,
a-7-50568154353705_38-82665228522418,train,14.6117,moderate,PRT,Industry and Manufacturing,
a31-45439643611007_36-80182935841327,train,13.5654,moderate,TUR,Agriculture,
a-1-34144867248374_47-02619422462487,train,6.7544,moderate,FRA,Agriculture,
a-8-40240604520935_40-93829700851144,train,7.7668,moderate,PRT,"Transport, Communication Networks, and Logistics",
a15-3125793476379_45-87926193118759,train,20.8094,moderate,SVN,Industry and Manufacturing,
a21-96260128697104_46-99675577206067,train,20.1214,moderate,ROU,Residential,
a5-17007097143491_51-69528151655165,train,10.7717,moderate,NLD,Uncertain,
a-16-62656099035438_28-05046132692965,train,8.2934,moderate,ESP,Uncertain,
a28-60595735252272_44-12819834833299,train,12.4981,moderate,ROU,Uncertain,
a7-79486221286826_47-40456423379025,train,9.4308,moderate,CHE,Mining and Quarrying,
a5-66409220777105_51-66192565878978,train,13.2315,moderate,NLD,Commerce and Services,
a17-65049600024085_48-99545618125751,train,9.4202,moderate,CZE,Uncertain,
a17-21815870461582_48-14834620277097,train,10.4335,moderate,SVK,Residential,
a30-19386286925374_50-47644656697543,train,10.974,moderate,UKR,Uncertain,
a16-24820990125578_48-38435969781316,train,6.0424,moderate,AUT,"Transport, Communication Networks, and Logistics",
a4-81102014764822_52-86078226165274,train,33.7631,high,NLD,Residential,
a9-42409872737389_45-27118044929093,train,33.3482,high,ITA,"Transport, Communication Networks, and Logistics",
a-0-47134313698222_52-09242527089813,train,36.4089,high,GBR,Industry and Manufacturing,
a9-65832672038043_55-53465785613748,train,35.9546,high,DNK,"Transport, Communication Networks, and Logistics",
a18-43358019326252_54-44698516294497,train,37.1022,high,POL,"Transport, Communication Networks, and Logistics",
a4-63523450914143_51-75228829204871,train,53.4418,high,NLD,"Transport, Communication Networks, and Logistics",
a-2-52025858362194_53-72050616794933,train,47.2255,high,GBR,Residential,
a-0-97187067835583_52-12078788011635,train,38.1579,high,GBR,Residential,
a9-84650096942698_56-8914796553378,train,42.9494,high,DNK,"Transport, Communication Networks, and Logistics",
a16-43884377929237_47-95806955265211,train,30.1558,high,AUT,Commerce and Services,
a37-6228530499554_40-70819774165013,val,4.7735,low,TUR,Uncertain,
a21-70440295997057_40-51936916309418,val,2.0444,low,GRC,Uncertain,
a25-25532012638358_42-66133454697253,val,1.4421,low,BGR,Uncertain,
a23-12454972168644_39-31313345844998,val,0.6664,low,GRC,"Transport, Communication Networks, and Logistics",
a5-28295740363469_50-80241396701574,val,0.4959,low,BEL,Commerce and Services,
a25-13281824684095_41-58248445196064,val,2.9591,low,BGR,"Transport, Communication Networks, and Logistics",
a33-01601359523483_39-55366220895914,val,3.3069,low,TUR,"Transport, Communication Networks, and Logistics",
a19-00559082371438_52-0634510634141,val,3.04,low,POL,Uncertain,
a7-08964608734413_62-36958777608737,val,1.041,low,NOR,Mining and Quarrying,
a25-36967669794409_57-97943731422228,val,0.5313,low,LVA,Agriculture,
a26-08539790003425_43-85740625500752,val,1.6183,low,BGR,"Transport, Communication Networks, and Logistics",
a4-80334905149021_52-66402425709741,val,0.8927,low,NLD,Residential,
