refid,split,change_ratio,change_level,full_window,startYear,endYear,country,change_type
a-0-54402407469629_44-04188024421709,train,0.2844,low,True,2018,2024,FRA,Residential
a-8-16716865379318_41-29046838293574,train,1.1095,low,True,2018,2024,PRT,Agriculture
a25-64243038512029_42-4514081513337,train,3.4289,low,True,2018,2024,BGR,Residential
a14-553548989316_46-12425285102383,train,2.7574,low,True,2018,2024,SVN,Industry and Manufacturing
a19-00559082371438_52-0634510634141,train,3.04,low,True,2018,2024,POL,Uncertain
a6-28772768410982_59-63685955269065,train,1.2299,low,True,2016,2024,NOR,Uncertain
a26-62295507119818_44-05415527794138,train,3.7334,low,True,2018,2024,BGR,"Transport, Communication Networks, and Logistics"
a22-84859000985749_42-45841904261786,train,0.6152,low,True,2017,2025,BGR,Uncertain
a3-7267438263542_51-68070038951491,train,2.968,low,True,2018,2025,NLD,"Transport, Communication Networks, and Logistics"
a14-44884901051691_46-68484489478062,train,3.1145,low,True,2017,2025,AUT,Uncertain
a8-80249467517939_47-54398344853953,train,2.0632,low,True,2018,2025,CHE,Agriculture
a-7-20196668794104_53-29507776919935,train,2.0119,low,True,2016,2024,IRL,Residential
a25-66116747847566_42-39992128286131,train,1.6984,low,True,2018,2024,BGR,Uncertain
a25-13281824684095_41-58248445196064,train,2.9591,low,True,2018,2024,BGR,"Transport, Communication Networks, and Logistics"
a10-27896225126639_48-57032226949789,train,4.2771,low,True,2018,2025,DEU,Residential
a18-64966272074464_47-52696250771223,train,2.9772,low,True,2017,2024,HUN,Residential
a-8-5046084613411_41-03650589895832,train,1.7034,low,True,2018,2024,PRT,Uncertain
a-7-26481735277496_40-73012230359111,train,1.1252,low,True,2018,2024,PRT,Uncertain
a29-79895633519798_62-64118953467137,train,3.2318,low,True,2018,2024,FIN,Uncertain
a24-30983682802799_55-72413222709245,train,2.6919,low,True,2018,2025,LTU,Residential
a5-43152911602821_52-01877434131934,train,4.6023,low,True,2018,2025,NLD,Residential
a5-05204659373531_51-44811397038556,train,0.5158,low,True,2018,2025,BEL,Water and Waste Treatment
a7-08964608734413_62-36958777608737,train,1.041,low,True,2018,2024,NOR,Mining and Quarrying
a17-99262666374421_48-88721480964941,train,4.5037,low,True,2017,2024,SVK,Agriculture
a11-89866704465856_54-76274837128253,train,4.1798,low,True,2018,2024,DNK,"Transport, Communication Networks, and Logistics"
a18-33617537767885_45-29904769846439,train,2.2706,low,True,2018,2024,HRV,Agriculture
a21-32632109696438_52-16524009813717,train,4.9587,low,True,2018,2025,POL,Uncertain
a25-25532012638358_42-66133454697253,train,1.4421,low,True,2018,2024,BGR,Uncertain
a7-79445066862058_51-39339047840458,train,4.8939,low,True,2018,2024,DEU,Mining and Quarrying
a5-69683832007147_51-27337426771136,train,3.8683,low,True,2018,2024,NLD,Agriculture
a21-70440295997057_40-51936916309418,train,2.0444,low,True,2018,2024,GRC,Uncertain
a12-46613619061323_57-24443634830578,train,0.4201,low,True,2017,2025,SWE,Uncertain
a25-49227879769426_54-70483626873595,train,4.6146,low,True,2018,2024,LTU,Residential
a6-12201417012424_52-3001891774471,train,1.4085,low,True,2018,2025,NLD,Agriculture
a26-71383420304365_55-960384104292,train,0.9145,low,True,2018,2025,LVA,Uncertain
a24-62502697948046_43-39589019191298,train,3.0906,low,True,2018,2024,BGR,Uncertain
a28-29010187977192_43-4567424498741,train,4.6726,low,True,2016,2024,BGR,Agriculture
a-3-99571454125387_43-28658119907893,train,1.2312,low,True,2016,2024,ESP,"Transport, Communication Networks, and Logistics"
a2-58896497299867_42-66375639844479,train,3.7906,low,True,2018,2025,FRA,Agriculture
a17-81046022198732_48-02360903747409,train,17.8457,moderate,True,2017,2024,SVK,Industry and Manufacturing
a14-90198581909847_46-54481380377602,train,6.5662,moderate,True,2018,2025,SVN,Industry and Manufacturing
a25-70702178828917_59-03533220503562,train,7.1417,moderate,True,2017,2025,EST,Residential
a4-83774516957964_45-81113137577614,train,6.9827,moderate,True,2018,2024,FRA,Residential
a-0-7288032620039_48-63928444006693,train,8.0533,moderate,True,2016,2025,FRA,Uncertain
a15-96543028496907_58-9953742874805,train,19.8912,moderate,True,2018,2025,SWE,Agriculture
a17-71064367428112_45-3367690095194,train,9.5703,moderate,True,2018,2025,HRV,Uncertain
a32-69085783675902_40-17923143394696,train,7.809,moderate,True,2018,2025,TUR,"Transport, Communication Networks, and Logistics"
a-8-63342379361771_37-13422198457337,train,9.3608,moderate,True,2018,2025,PRT,Residential
a19-15395094252762_47-58000484344567,train,21.1911,moderate,True,2018,2024,HUN,Industry and Manufacturing
a8-03256451955557_53-1190341198854,train,7.0993,moderate,True,2016,2025,DEU,"Transport, Communication Networks, and Logistics"
a17-29648513171956_48-31832462732824,train,6.474,moderate,True,2018,2024,SVK,Residential
a9-4843003131549_47-16101307536516,train,16.0392,moderate,True,2017,2024,CHE,Agriculture
a28-60595735252272_44-12819834833299,train,12.4981,moderate,True,2018,2024,ROU,Uncertain
a0-07602270798631_51-64536656448906,train,7.4489,moderate,True,2018,2024,GBR,Residential
a-16-62656099035438_28-05046132692965,train,8.2934,moderate,True,2017,2025,ESP,Uncertain
a13-60838063952165_46-58264616437447,train,6.0625,moderate,True,2017,2024,AUT,Residential
a16-15317118163363_45-7859705066069,train,8.3542,moderate,True,2018,2024,HRV,Commerce and Services
a21-6663749723164_40-41503995559737,train,15.2456,moderate,True,2018,2025,GRC,Uncertain
a31-45439643611007_36-80182935841327,train,13.5654,moderate,True,2018,2025,TUR,Agriculture
a11-377756363169_45-39326226417903,train,18.1917,moderate,True,2018,2024,ITA,Uncertain
